,campaign_number,user_engagement,banner,placement,displays,clicks,ad_spend_by_company_x,post_click_conversions,post_click_sales_amount
14626,camp 1,Medium,670 x 90,def,156,0,0.0,0,0.0
14627,camp 1,Medium,670 x 90,ghi,115,0,0.0,0,0.0
14628,camp 1,Medium,670 x 90,jkl,7,0,0.0,0,0.0
14629,camp 1,Medium,670 x 90,mno,587,0,0.0,0,0.0
14630,camp 1,High,728 x 90,abc,16,0,0.0,0,0.0
14631,camp 1,High,728 x 90,def,28378,73,8.0,110,4702.7877
14632,camp 1,High,728 x 90,ghi,70035,571,62.0,522,23409.0607
14633,camp 1,High,728 x 90,jkl,4203,19,2.0,13,733.7921
14634,camp 1,High,728 x 90,mno,130266,340,37.0,333,14216.4683
14636,camp 1,Low,728 x 90,def,210,0,0.0,0,0.0
14637,camp 1,Low,728 x 90,ghi,97,2,0.2203,0,0.0
14638,camp 1,Low,728 x 90,jkl,27,0,0.0,0,0.0
14639,camp 1,Low,728 x 90,mno,1048,2,0.2203,0,0.0
14641,camp 1,Medium,728 x 90,def,2559,10,1.1015,2,159.5523
14642,camp 1,Medium,728 x 90,ghi,2672,65,7.1597,13,456.7922
14643,camp 1,Medium,728 x 90,jkl,271,4,0.4407,0,0.0
14644,camp 1,Medium,728 x 90,mno,8380,82,9.0323,5,218.937
14646,camp 1,High,800 x 250,mno,1,0,0.0,0,0.0
14647,camp 3,High,240 x 400,def,1136,1,0.055,0,0.0
14648,camp 3,High,240 x 400,ghi,3320,45,2.4783,14,1277.713
14649,camp 3,High,240 x 400,jkl,1393,6,0.3304,1,86.3989
14650,camp 3,High,240 x 400,mno,8723,13,0.7159,12,466.747
14651,camp 3,Low,240 x 400,def,665,3,0.1652,0,0.0
14652,camp 3,Low,240 x 400,ghi,715,1,0.055,0,0.0
14653,camp 3,Low,240 x 400,jkl,26,0,0.0,0,0.0
14654,camp 3,Low,240 x 400,mno,3000,1,0.055,0,0.0
14655,camp 3,Medium,240 x 400,def,2472,11,0.6058,0,0.0
14656,camp 3,Medium,240 x 400,ghi,2927,40,2.203,2,142.3551
14657,camp 3,Medium,240 x 400,jkl,452,2,0.1101,0,0.0
14658,camp 3,Medium,240 x 400,mno,9128,41,2.258,0,0.0
14659,camp 3,High,300 x 250,abc,118,0,0.0,0,0.0
14660,camp 3,High,300 x 250,def,1517,8,0.4406,1,14.884
14661,camp 3,High,300 x 250,ghi,1020,10,0.5507,2,55.2677
14662,camp 3,High,300 x 250,jkl,121,1,0.055,0,0.0
14663,camp 3,High,300 x 250,mno,17425,46,2.5335,3,375.3477
14664,camp 3,Low,300 x 250,abc,57,0,0.0,0,0.0
14665,camp 3,Low,300 x 250,def,1749,10,0.5507,1,69.8351
14666,camp 3,Low,300 x 250,ghi,214,5,0.2753,0,0.0
14667,camp 3,Low,300 x 250,mno,10424,44,2.4233,0,0.0
14668,camp 3,Medium,300 x 250,abc,239,0,0.0,0,0.0
14669,camp 3,Medium,300 x 250,def,3281,33,1.8174,1,78.0275
14670,camp 3,Medium,300 x 250,ghi,961,40,2.203,1,40.0533
14671,camp 3,Medium,300 x 250,jkl,9,0,0.0,0,0.0
14672,camp 3,Medium,300 x 250,mno,24613,150,8.2618,1,12.6682
14673,camp 3,High,468 x 60,def,51,0,0.0,0,0.0
14674,camp 3,High,468 x 60,ghi,7,0,0.0,0,0.0
14675,camp 3,High,468 x 60,mno,271,0,0.0,0,0.0
14676,camp 3,Low,468 x 60,def,21,0,0.0,0,0.0
14677,camp 3,Low,468 x 60,ghi,87,0,0.0,0,0.0
14678,camp 3,Low,468 x 60,mno,106,0,0.0,0,0.0
14679,camp 3,Medium,468 x 60,def,61,0,0.0,0,0.0
14680,camp 3,Medium,468 x 60,ghi,74,0,0.0,0,0.0
14681,camp 3,Medium,468 x 60,mno,500,0,0.0,0,0.0
14682,camp 3,High,580 x 400,mno,3139,25,1.3768,5,243.4453
14683,camp 3,Low,580 x 400,mno,1778,9,0.4956,0,0.0
14684,camp 3,Medium,580 x 400,mno,4678,94,5.177,0,0.0
14685,camp 3,High,670 x 90,def,339,0,0.0,0,0.0
14686,camp 3,High,670 x 90,ghi,14,0,0.0,0,0.0
14687,camp 3,High,670 x 90,jkl,7,0,0.0,0,0.0
14688,camp 3,High,670 x 90,mno,1052,3,0.1652,1,54.9373
14689,camp 3,Low,670 x 90,def,981,1,0.055,0,0.0
14690,camp 3,Low,670 x 90,ghi,3,0,0.0,0,0.0
14691,camp 3,Low,670 x 90,mno,767,2,0.1101,0,0.0
14692,camp 3,Medium,670 x 90,def,1430,5,0.2753,0,0.0
14693,camp 3,Medium,670 x 90,ghi,8,0,0.0,0,0.0
14694,camp 3,Medium,670 x 90,jkl,2,0,0.0,0,0.0
14695,camp 3,Medium,670 x 90,mno,1893,11,0.6058,0,0.0
14696,camp 3,High,728 x 90,def,2642,3,0.1652,0,0.0
14697,camp 3,High,728 x 90,ghi,513,3,0.1652,4,124.9239
14698,camp 3,High,728 x 90,jkl,468,0,0.0,0,0.0
14699,camp 3,High,728 x 90,mno,14458,23,1.2667,5,470.4646
14701,camp 3,Low,728 x 90,def,1947,8,0.4406,0,0.0
14702,camp 3,Low,728 x 90,ghi,104,0,0.0,0,0.0
14703,camp 3,Low,728 x 90,jkl,23,0,0.0,0,0.0
14704,camp 3,Low,728 x 90,mno,10612,23,1.2667,0,0.0
14705,camp 3,Medium,728 x 90,def,5024,28,1.5421,0,0.0
14706,camp 3,Medium,728 x 90,ghi,310,13,0.7159,0,0.0
14707,camp 3,Medium,728 x 90,jkl,273,1,0.055,0,0.0
14708,camp 3,Medium,728 x 90,mno,23796,102,5.6176,0,0.0
14710,camp 3,Low,800 x 250,mno,2,0,0.0,0,0.0
14711,camp 3,Medium,800 x 250,mno,6,0,0.0,0,0.0
14712,camp 1,High,240 x 400,def,8034,39,4.0,35,1367.2817
14713,camp 1,High,240 x 400,ghi,122146,2187,240.0,1459,61924.5499
14714,camp 1,High,240 x 400,jkl,13821,85,9.0,72,4207.1756
14715,camp 1,High,240 x 400,mno,60659,244,26.0,212,10829.3029
14716,camp 1,Low,240 x 400,def,60,0,0.0,0,0.0
14717,camp 1,Low,240 x 400,ghi,304,5,0.5507,2,35.3168
14718,camp 1,Low,240 x 400,jkl,62,0,0.0,0,0.0
